66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:56+00:00|"http://www.espacioperinatal.com/la-mente-de-los-bebes-que-piensan/"
2.152.89.195|GET /wp-includes/js/mediaelement/bigplay.svg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-includes/js/mediaelement/bigplay.svg|200|2017-12-10T21:12:01+00:00|"http://www.espacioperinatal.com/wp-includes/js/mediaelement/mediaelementplayer.min.css?ver=2.22.0"
2.152.89.195|GET /wp-includes/js/mediaelement/controls.svg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-includes/js/mediaelement/controls.svg|200|2017-12-10T21:12:01+00:00|"http://www.espacioperinatal.com/wp-includes/js/mediaelement/mediaelementplayer.min.css?ver=2.22.0"
2.152.89.195|GET /wp-content/uploads/2017/01/Esferas2-150x150.jpg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/uploads/2017/01/Esferas2-150x150.jpg|200|2017-12-10T21:12:02+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
185.22.173.228|GET / HTTP/1.1|Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.700.3 Safari/534.24|Chrome|GET|/|301|2017-12-10T21:12:34+00:00|"-"
2.152.89.195|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:12:43+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
185.22.173.228|GET / HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1|Chrome|GET|/|301|2017-12-10T21:12:44+00:00|"-"
176.223.111.212|GET / HTTP/1.1|Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.30 (KHTML, like Gecko) Comodo_Dragon/12.1.0.0 Chrome/12.0.742.91 Safari/534.30|Comodo Dragon|GET|/|301|2017-12-10T21:12:46+00:00|"-"
176.223.111.212|GET / HTTP/1.1|Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.30 (KHTML, like Gecko) Comodo_Dragon/12.1.0.0 Chrome/12.0.742.91 Safari/534.30|Comodo Dragon|GET|/|200|2017-12-10T21:12:48+00:00|"-"
176.223.111.212|POST /wp-admin/admin-post.php?action=mailpoet_subscription_form HTTP/1.1|Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.30 (KHTML, like Gecko) Comodo_Dragon/12.1.0.0 Chrome/12.0.742.91 Safari/534.30|Comodo Dragon|POST|/wp-admin/admin-post.php?action=mailpoet_subscription_form|302|2017-12-10T21:12:51+00:00|"http://www.espacioperinatal.com/"
